07 2021 07 15 00    0.73     0.61     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.21     0.66     0.13     0.09     0.06     0.06     0.50     0.03     0.00     0.02     0.06 
07 2021 07 16 00    4.24     2.80     0.02     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.14     2.22     1.31     0.00     0.00     0.00     0.35     0.00     0.00     0.00     0.00 
07 2021 07 17 00    0.37     0.71     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.21     1.24     0.03     0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00 
07 2021 07 18 00    1.16     1.05     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.32     1.24     0.05     0.00     0.02     0.02     0.02     0.01     0.00     0.01     0.02 
07 2021 07 19 00    0.20     0.27     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.08     0.40     0.00     1.00     3.05     2.94     3.43     1.72     1.38     2.07     3.01 
07 2021 07 20 00    0.01     0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.01     0.05     0.00     0.87     1.27     1.22     1.43     0.71     0.42     0.76     1.25 
07 2021 07 21 00    0.00     0.01     0.11     0.00     0.02     0.04     0.14     0.02     0.01     0.01     0.05     0.02     0.00     0.30     0.42     0.41     0.48     0.24     0.11     0.23     0.42 
07 2021 07 22 00    0.09     0.14     0.16     0.02     0.00     0.05     0.11     0.12     0.11     0.09     0.10     0.23     0.00     2.00     3.74     3.61     4.21     2.11     1.79     2.60     3.69 
07 2021 07 23 00    0.02     0.08     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.02     0.16     0.00     6.51    11.06    10.66    12.44     6.22     6.38     8.40    10.89 
07 2021 07 24 00    0.03     0.07     0.00     0.28     0.00     0.79     2.09     0.59     0.31     0.07     0.07     0.13     0.00     0.68     0.36     0.35     0.41     0.21     0.22     0.28     0.36 
07 2021 07 25 00    1.77     1.59     0.72     1.07     1.30     1.36     2.07     1.55     2.28     2.76     1.02     1.39     0.69     0.25     0.19     0.19     0.22     0.11     0.09     0.13     0.19 
07 2021 07 26 00    2.82     2.54     0.95    12.74     2.60    14.70    19.61    16.48    13.86    11.38     2.50     2.79     1.41     0.04     0.00     0.00     0.00     0.00     0.00     0.00     0.00 
07 2021 07 27 00   12.38    13.75     1.05     1.07     5.41     1.01     0.75     0.45     1.05     1.47     5.33    16.14     3.32     1.41     5.18     5.00     5.83     2.92     2.59     3.67     5.10 
08 2021 07 12 00    0.11     0.09     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.03     0.11     0.01     0.04     0.04     0.04     0.80     0.02     0.01     0.02     0.04 
08 2021 07 13 00    0.51     0.83     0.00     0.00     0.01     0.00     0.00     0.00     0.00     0.00     0.25     1.38     0.03     0.11     0.19     0.19     1.30     0.11     0.00     0.07     0.19 
08 2021 07 14 00    0.74     0.98     0.00     0.00     0.18     0.00     0.00     0.00     0.00     0.00     0.29     1.36     0.03     0.40     0.02     0.02     0.63     0.01     0.00     0.01     0.02 
08 2021 07 15 00    2.26     1.69     0.03     0.00     0.02     0.00     0.00     0.00     0.00     0.00     0.61     1.60     0.46     0.28     0.04     0.04     0.60     0.02     0.00     0.01     0.04 
08 2021 07 16 00    7.45     7.11     0.11     0.01     1.53     0.01     0.00     0.00     0.00     0.00     2.97     7.77     3.61     0.00     0.00     0.00     0.63     0.00     0.00     0.00     0.00 
