2013 03      5.7048    6.7290    7.7765    5.3565    3.9497    5.7132    7.1103    8.4448    3.0703    7.0300    3.7026    3.3419    3.1632
2014 03      7.3616    6.8855    6.5945    6.3242    6.9745    6.7919   10.9368   12.6100    6.9877   11.1313    7.8613    7.4226    7.2042
2015 03      3.8226    3.5000    2.9819    3.6816    3.5916    3.6958    5.1565    6.5568    3.7300    5.8132    3.2645    3.5071    3.6287
2016 03      5.4184    6.0368    5.4497    6.4748    4.1790    5.0997    7.2123    7.1248    9.1106    7.6461    9.2742    9.0839    8.9894
2017 03      6.8842    9.8681   11.9748    7.8687    5.7555    5.7548    6.2810    6.0942    5.2900    5.8826    4.4894    4.8081    4.9690
2018 03      5.0990    7.0119    7.7039    6.6248    3.5945    4.2542    6.3235    5.7216    5.7061    5.7174    5.1297    5.3100    5.3994
2019 03      4.9526    5.1610    5.1110    4.7958    3.3416    5.0548    6.5652    8.2677    9.9261    8.7039   10.1984   10.6032   10.8055
2020 03      3.8894    4.4074    4.9342    3.8384    3.0194    3.5094    3.8239    6.2881   11.7239    7.7181    9.9887   12.2768   13.4213
1991 04      3.3103    2.1297    1.9690    2.1920    2.8167    4.0983    4.0680    5.5400    2.7327    4.8017    3.2283    2.7383    2.4940
1992 04      4.5207    3.4637    2.4613    4.3427    4.6293    5.0847    4.6180    5.4787    5.4953    5.4833    4.1557    4.9110    5.2887
1993 04      3.3857    3.1830    3.0323    2.6147    2.5380    3.1470    5.4293    7.4893    8.8473    7.8470    7.3627    8.2790    8.7370
1994 04      4.2017    5.0123    5.4697    3.8530    2.2327    4.4223    6.5123    5.9197    4.6523    5.5853    7.6450    5.4803    4.3983
1995 04      2.7343    2.2170    1.8027    2.2257    2.3450    2.5677    4.3133    6.4193    5.7293    6.2383    5.2213    5.3190    5.3670
1996 04      4.1267    3.5877    3.4350    3.3623    3.2810    4.6183    5.0787    6.6107    5.9200    6.4293    5.6773    5.6757    5.6743
1997 04      3.9113    3.2380    3.1430    3.0133    2.6610    4.4443    5.5723    6.2283    9.5183    7.0947    5.9210    7.1960    7.8350
1998 04      2.7157    3.3010    4.0953    2.0163    2.1443    2.5853    3.2337    3.9977    2.1280    3.5060    1.8063    1.9253    1.9840
1999 04      2.8750    2.9503    3.0523    2.4583    1.9990    3.0273    3.8843    5.1707    3.0340    4.6083    3.8463    3.2327    2.9253
2000 04      2.6813    2.9640    3.5107    1.9590    1.4757    2.7553    3.7777    6.2080    2.8877    5.3333    3.5557    2.9640    2.6687
2001 04      2.8737    2.5003    2.7773    1.8013    2.5270    3.2983    3.1927    3.7660    3.5730    3.7170    4.2893    3.5363    3.1613
2002 04      3.3973    3.3860    3.2467    3.1490    2.4990    3.3117    4.6690    5.9323    8.8333    6.6967    6.3960    7.9943    8.7950
2003 04      4.1580    4.2337    5.0380    2.9443    3.2167    4.0627    5.3667    6.6010    9.9773    7.4890    9.5020    9.7427    9.8627
2004 04      3.6313    3.4443    3.0907    3.6933    2.8753    3.4620    4.4773    7.1293    9.3147    7.7053    6.3870    8.8310   10.0540
2005 04      2.7317    3.2357    2.7030    3.6497    2.5103    1.9853    3.8923    4.8603    4.1723    4.6800    3.4220    3.8053    3.9973
2006 04      4.2860    5.4633    6.3147    4.2983    2.8237    3.9047    5.7613    5.3967    7.6780    5.9970    5.0733    6.3720    7.0213
2007 04      3.7470    5.1320    5.4570    4.4973    3.2200    2.3977    5.6200    5.9950    6.2983    6.0747    5.7967    6.2373    6.4580
2008 04      2.7507    2.5140    2.2500    2.5473    2.8647    2.6330    3.4987    3.0333    4.6033    3.4467    3.6730    4.2477    4.5357
2009 04      5.1417    6.0577    5.4840    5.1847    4.2600    4.3607    8.4100    8.0803    7.7230    7.9860    4.9993    6.6013    7.4030
2010 04      1.4317    1.9043    1.6203    1.5033    1.0900    1.1510    2.8127    1.8727    2.2697    1.9767    2.4063    2.3077    2.2580
2011 04      4.4837    5.9050    5.7323    5.7960    3.1257    3.7860    6.3527    5.7440    7.2800    6.1493    6.6313    6.8833    7.0093
2012 04      3.9780    4.0603    3.6720    4.6150    3.6540    3.7483    4.8410    4.3790    6.0957    4.8303    6.3043    6.1620    6.0910
2013 04      3.0873    2.4083    2.0343    2.9257    3.5990    3.6257    2.1067    1.4260    2.8170    1.7913    2.5550    2.6700    2.7280
2014 04      3.4850    3.2293    2.9703    3.2657    2.6557    3.4050    5.2847    7.1820    4.3133    6.4280    4.5820    4.4370    4.3630
2015 04      3.3113    4.8180    5.7957    3.5053    2.1617    2.7433    4.3327    4.1687    3.9877    4.1200    3.5330    3.7737    3.8940
2016 04      3.2940    4.6817    4.9793    4.5063    2.8960    1.9177    4.6447    5.5200    3.9020    5.0947    4.1603    4.0310    3.9667
2017 04      4.7837    5.1980    4.9170    5.3807    4.8053    4.5133    4.5077    5.3937    4.7123    5.2147    4.4733    4.8263    5.0010
2018 04      2.8023    3.2760    3.5980    3.0480    1.9440    2.7160    3.0683    4.5137    3.5150    4.2520    3.2040    3.2517    3.2747
2019 04      3.8100    4.7760    5.1163    4.0513    3.5473    3.2037    4.3737    4.1940    4.8353    4.3640    4.2123    4.5643    4.7400
2020 04      3.1190    3.2113    3.1570    2.9027    3.3417    2.1707    4.1950    6.4093    7.9377    6.8103    5.1910    7.1907    8.1903
1991 05      1.9210    1.6165    1.5090    1.4745    1.4261    2.1348    2.5942    3.9100    2.6352    3.5752    3.3858    2.8961    2.6513
1992 05      2.2587    1.6439    1.0403    2.3416    3.1503    2.2152    1.8174    1.9968    2.0597    2.0132    1.6145    1.7984    1.8906
1993 05      1.6203    1.5542    1.5842    1.3913    1.6729    1.4635    1.8971    2.2642    3.2661    2.5274    1.7826    2.8723    3.4174
1994 05      1.7997    1.9235    2.0626    1.8297    1.3910    1.8555    2.1394    1.9784    2.1645    2.0281    2.3135    2.3187    2.3210
1995 05      2.1497    2.0171    2.1716    1.4113    0.9761    2.7471    2.9558    3.6126    4.0103    3.7168    3.6123    3.8797    4.0139
1996 05      1.7771    1.5042    1.6581    0.9810    1.2800    1.8348    1.9810    5.4294    4.3871    5.1542    3.1755    3.9842    4.3877
1997 05      1.7484    1.1635    1.0155    1.1490    1.6013    2.1684    1.7410    2.3739    3.7171    2.7274    2.4932    2.9523    3.1810
1998 05      1.5403    1.6855    1.9558    1.1197    1.2335    1.5774    1.9423    1.8600    2.1758    1.9448    2.2790    2.1858    2.1381
1999 05      1.8639    2.5113    2.2358    2.1674    1.3265    1.3306    3.0816    4.6284    2.7142    4.1242    2.6832    2.5919    2.5458
2000 05      0.9745    1.2652    1.4684    0.8032    0.7235    0.8345    1.4584    1.5281    1.1255    1.4216    0.8013    0.9961    1.0929
2001 05      2.0177    1.8119    1.7635    1.7487    2.0826    2.1348    2.0732    1.9626    2.4297    2.0855    3.0148    2.4968    2.2377
2002 05      2.4300    2.2206    1.9519    2.3394    2.0484    2.7110    3.0468    2.5868    2.9274    2.6768    3.0197    2.7874    2.6716
2003 05      1.5968    1.3390    1.2423    1.2581    1.1487    1.9968    1.7945    1.9442    3.1613    2.2648    2.7961    3.0429    3.1655
2004 05      1.8177    1.9465    1.0823    3.0939    1.9777    1.6497    1.5126    1.4594    1.9948    1.6006    2.1277    2.0571    2.0223
2005 05      2.2413    1.9868    1.7081    2.3410    1.8455    2.6690    2.3552    1.5242    3.7094    2.0990    3.5574    3.5535    3.5516
2006 05      0.9445    0.7129    0.5448    0.8352    0.7690    1.1416    0.9439    1.4390    2.1194    1.6181    1.2752    1.7939    2.0539
2007 05      2.1216    2.3448    2.3152    2.1532    2.3552    1.3935    3.0274    4.3084    2.3339    3.7890    1.9294    2.2955    2.4787
2008 05      1.4758    1.5690    1.6839    1.4623    1.0794    1.2358    2.4661    2.1000    4.4832    2.7274    3.2032    3.9516    4.3268
2009 05      1.9506    2.4284    2.4884    1.6668    1.3406    1.5642    3.5471    3.8100    4.2490    3.9261    2.8813    3.7087    4.1216
2010 05      1.5094    2.1268    1.2994    2.8271    1.0584    1.0168    2.1552    3.4294    2.4532    3.1726    1.8245    2.2116    2.4042
2011 05      1.4239    2.8952    2.8890    2.4252    0.7032    0.6210    2.8358    2.1923    1.0813    1.8997    1.2232    1.1187    1.0665
2012 05      2.7810    1.9790    2.1545    1.8661    2.6206    3.6468    2.2965    1.7671    3.3119    2.1735    3.4455    3.3094    3.2419
2013 05      1.8042    1.7765    1.8429    1.5884    2.0968    1.8000    1.3829    1.4565    1.8771    1.5671    1.0816    1.5129    1.7287
2014 05      3.0316    3.4871    3.3845    3.5606    2.7797    2.5890    3.5784    4.6268    2.7348    4.1290    2.3332    2.5974    2.7303
2015 05      3.9006    5.1397    4.6071    5.9355    3.2852    3.4310    4.0200    3.3487    3.2842    3.3310    3.3039    3.2929    3.2877
2016 05      1.1429    1.3445    1.0168    1.4652    1.1419    0.8310    1.7516    1.5506    2.4223    1.7797    2.4706    2.4158    2.3890
2017 05      2.6816    2.7361    1.9006    4.0287    3.5810    2.1787    1.8313    2.4242    1.4623    2.1710    1.2500    1.3074    1.3371
2018 05      1.8542    2.2535    1.9003    2.8374    2.3874    1.2945    1.3413    1.8245    1.1658    1.6516    0.8897    1.0339    1.1065
2019 05      1.9568    2.3223    2.6268    1.8026    2.1316    1.5261    2.4674    1.9055    2.0187    1.9342    2.2106    2.1600    2.1352
2020 05      1.6490    0.9848    0.7732    1.1761    2.2897    1.6845    1.2726    2.2045    2.4616    2.2719    1.8945    2.1739    2.3129
1991 06      1.7457    2.1573    1.4877    3.1290    1.4947    1.5680    1.6013    1.8853    1.4753    1.7770    1.1980    1.4027    1.5040
1992 06      1.6057    1.7493    0.9887    2.8757    2.1903    1.2270    1.0440    1.0953    0.7720    1.0103    0.4297    0.7350    0.8890
1993 06      0.6390    0.5627    0.3657    0.7270    0.6313    0.5340    0.8277    1.2333    2.1923    1.4853    1.1347    1.9600    2.3723
1994 06      1.6727    0.8707    0.7140    0.9073    1.2513    2.5967    1.4680    1.8660    1.8007    1.8477    1.7967    1.8530    1.8793
1995 06      0.4820    0.5273    0.4347    0.4970    0.3163    0.3180    0.8997    1.2077    2.9283    1.6603    1.5877    2.4307    2.8537
1996 06      0.6323    0.5873    0.4683    0.6493    0.5147    0.4893    0.8000    1.6280    3.4870    2.1173    1.6937    2.9470    3.5733
1997 06      1.7790    0.9793    0.3817    1.7997    2.1450    2.3477    1.1923    0.4047    1.6463    0.7320    1.5983    1.5440    1.5163
1998 06      0.6520    0.6247    0.4520    0.7887    0.7160    0.6913    0.5083    0.3247    1.0580    0.5177    0.4793    0.8587    1.0477
1999 06      1.3140    1.2613    1.0733    1.1327    1.1080    1.3737    1.8787    2.1163    1.3283    1.9097    1.8260    1.5030    1.3407
2000 06      1.0790    1.4273    1.1403    1.7517    0.9937    1.0143    0.8880    0.5357    0.6230    0.5593    0.3447    0.5330    0.6273
2001 06      0.9460    0.9363    0.7530    0.9657    0.9157    0.7697    1.3543    2.0490    1.6323    1.9393    1.4697    1.5663    1.6123
2002 06      0.7620    0.9580    1.1063    0.8170    0.9553    0.5497    0.5760    0.6650    0.5753    0.6417    0.2343    0.4583    0.5707
2003 06      1.3600    1.8790    2.3550    1.2940    1.0247    1.1590    1.5960    1.2007    2.5187    1.5460    2.6360    2.5360    2.4870
2004 06      0.9810    0.9687    0.9270    0.8467    0.8733    0.9310    1.2887    1.8083    1.3623    1.6900    0.9820    1.3020    1.4617
2005 06      1.2133    1.5563    1.1923    2.0907    1.2280    1.1020    0.9843    0.3257    0.5013    0.3717    0.7417    0.6147    0.5510
2006 06      1.2380    1.5737    1.5783    1.5153    1.6390    0.9113    1.0427    0.5330    0.3457    0.4837    0.1513    0.2647    0.3217
2007 06      0.1173    0.2167    0.1677    0.2883    0.0843    0.0237    0.1797    0.2067    0.4183    0.2617    0.4943    0.4310    0.4003
2008 06      0.5143    0.4390    0.1723    0.7967    0.4630    0.4643    0.4237    1.0897    2.0600    1.3440    1.1367    1.6827    1.9553
2009 06      1.2100    1.3127    1.4113    0.9107    1.1457    1.0340    1.8527    1.3723    2.9303    1.7823    1.4103    2.3587    2.8333
2010 06      0.2353    0.4113    0.1847    0.7250    0.1600    0.0687    0.2293    0.5937    0.8710    0.6667    0.3160    0.6543    0.8230
2011 06      0.6223    1.2950    1.3483    1.2790    0.3760    0.3297    0.7577    0.2900    0.0887    0.2363    0.1803    0.1123    0.0780
2012 06      2.1860    2.5027    2.3520    2.8997    2.5333    1.7603    1.8467    1.9107    2.1427    1.9717    1.4877    1.8887    2.0900
2013 06      2.6440    3.1213    2.0667    4.3990    3.1640    2.0447    2.4880    2.2423    1.2213    1.9753    1.3400    1.2803    1.2493
2014 06      1.5147    2.0797    1.9530    2.3457    2.0743    0.9713    0.8353    0.8007    0.6587    0.7623    0.4390    0.5847    0.6573
2015 06      1.4143    1.7600    1.3300    2.4413    1.9380    0.9473    1.1010    0.7410    0.1260    0.5787    0.1437    0.1413    0.1407
2016 06      0.8270    1.0693    0.4320    1.9637    1.1133    0.5267    0.4483    0.3013    1.2213    0.5430    1.1753    1.1787    1.1797
2017 06      1.0017    1.4003    1.0543    1.9777    1.3197    0.6473    0.4803    0.5270    0.2677    0.4583    0.2240    0.2553    0.2710
2018 06      1.2263    1.6283    1.6840    1.7530    1.2690    0.9570    1.1807    0.6883    0.4793    0.6337    0.4570    0.4980    0.5190
2019 06      1.1773    1.0463    0.9520    1.2267    1.5403    1.0993    1.1267    0.6820    0.3717    0.6003    0.4600    0.3937    0.3593
2020 06      1.8653    1.2603    1.1740    1.3807    3.1670    1.7430    0.8067    1.0983    1.8323    1.2910    1.6277    1.9737    2.1470
1991 07      0.4906    0.5235    0.2939    0.7942    0.8187    0.2400    0.4955    0.4748    0.4023    0.4561    0.4835    0.4229    0.3929
1992 07      0.7587    0.7558    0.6510    0.8558    0.9142    0.7377    0.6297    0.5668    0.1723    0.4635    0.3571    0.2148    0.1445
1993 07      0.7406    1.0539    0.7435    1.5594    0.9010    0.4242    0.5165    0.4910    0.8955    0.5971    1.1855    0.9871    0.8868
1994 07      0.6700    0.6129    0.8342    0.3600    0.5010    0.8190    0.4829    0.4510    2.6242    1.0229    1.1577    2.2065    2.7313
1995 07      0.5994    1.0677    1.3294    0.8110    0.4661    0.2319    0.8245    0.4784    2.4268    0.9906    2.0155    2.2203    2.3239
1996 07      0.2981    0.3971    0.2732    0.6103    0.3223    0.2081    0.1058    0.4919    0.2468    0.4274    0.4577    0.3271    0.2623
1997 07      0.3184    0.7181    0.6252    0.8935    0.2500    0.0926    0.3368    0.0387    0.1597    0.0706    0.2494    0.1819    0.1481
1998 07      0.1474    0.2287    0.1529    0.3165    0.1816    0.0332    0.1635    0.2000    0.6932    0.3290    0.3042    0.5713    0.7065
1999 07      0.5374    0.6323    0.4535    0.7300    0.7310    0.3616    0.6339    0.5006    0.3065    0.4500    0.1184    0.2394    0.3000
2000 07      1.5319    0.8658    0.6184    0.9919    1.5481    2.1290    1.4258    1.2484    0.8819    1.1526    0.9700    0.9097    0.8819
2001 07      1.1674    1.5884    1.0448    2.3865    0.9458    0.8452    1.0823    2.0126    1.6435    1.9148    1.2874    1.5235    1.6419
2002 07      0.6674    0.8113    0.7865    0.8410    0.7594    0.5029    0.6229    0.6684    0.8271    0.7103    0.6255    0.7571    0.8239
2003 07      0.1923    0.3261    0.2981    0.3365    0.1742    0.0948    0.2571    0.2484    0.2581    0.2510    0.1916    0.2084    0.2165
2004 07      1.0942    1.4994    1.6194    1.2161    1.0132    0.7797    1.4700    1.2968    1.6690    1.3945    1.5319    1.6929    1.7726
2005 07      0.5165    0.4613    0.3329    0.6626    0.4003    0.6900    0.4771    0.1468    0.0203    0.1132    0.0181    0.0119    0.0087
2006 07      0.4816    0.7110    0.4200    0.9697    0.4097    0.3277    0.6455    0.7929    0.0797    0.6052    0.0384    0.0594    0.0694
2007 07      1.1006    1.4574    1.4106    1.6068    1.2942    0.8181    0.9432    0.5268    0.3610    0.4835    0.2377    0.3100    0.3471
2008 07      0.5268    0.4758    0.3474    0.5955    0.5771    0.4948    0.6939    0.6239    0.2390    0.5229    0.1032    0.1229    0.1329
2009 07      1.7842    2.7871    3.0284    2.6145    1.8558    1.2094    1.6194    0.6139    0.9542    0.7032    0.2765    0.6706    0.8677
